"Candidate","Party","Votes","State","Const"
"ANIL KUMAR SHARMA","Janata Dal  (United)",1359,"Bihar","Bihar - Jahanabad"
"RAMADHAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",1368,"Bihar","Bihar - Jahanabad"
"NITYANAND SINGH","Independent",1362,"Bihar","Bihar - Jahanabad"
"RAVINDRA SINGH","Bahujan Samaj Party",1361,"Bihar","Bihar - Jahanabad"
"MANJAY KUMAR","Independent",1112,"Bihar","Bihar - Jahanabad"
"ARJUN THAKUR","Independent",1372,"Bihar","Bihar - Jahanabad"
"MD. ISTIYAK","All India Trinamool Congress",1371,"Bihar","Bihar - Jahanabad"
"SUDAY YADAV","Independent",1370,"Bihar","Bihar - Jahanabad"
"CHANDRA BHUSHAN SHARMA","Aam Aadmi Party",1132,"Bihar","Bihar - Jahanabad"
"RAHUL RANJAN","Jharkhand Mukti Morcha",1369,"Bihar","Bihar - Jahanabad"
"MANJU DEVI","Krantikari Vikas Dal",1366,"Bihar","Bihar - Jahanabad"
"PARSHURAM VIND","Bahujan Mukti Party",1364,"Bihar","Bihar - Jahanabad"
"NARENDRA KUMAR","Shivsena",1363,"Bihar","Bihar - Jahanabad"
"None of the Above","None of the Above",1360,"Bihar","Bihar - Jahanabad"
"SUSHIL KUMAR SINGH","Bharatiya Janata Party",1377,"Bihar","Bihar - Aurangabad"
"NIKHIL KUMAR","Indian National Congress",1375,"Bihar","Bihar - Aurangabad"
"BAGI KUMAR VERMA","Janata Dal  (United)",1373,"Bihar","Bihar - Aurangabad"
"SANTOSH KUMAR","Bahujan Samaj Party",1376,"Bihar","Bihar - Aurangabad"
"UPENDRA NATH","Bahujan Mukti Party",1386,"Bihar","Bihar - Aurangabad"
"SOMARU PASWAN","Independent",1385,"Bihar","Bihar - Aurangabad"
"RAMJI SINGH","Independent",1384,"Bihar","Bihar - Aurangabad"
"RAGINI LATA SINGH","Aam Aadmi Party",1383,"Bihar","Bihar - Aurangabad"
"BIJEET KUMAR","Independent",1382,"Bihar","Bihar - Aurangabad"
"RAKESH SHARMA","Independent",1381,"Bihar","Bihar - Aurangabad"
"USHA SHARAN","Shoshit Samaj Dal",1380,"Bihar","Bihar - Aurangabad"
"DURGA THAKUR","Independent",1379,"Bihar","Bihar - Aurangabad"
"RITA DEVI","Samajwadi Party",1378,"Bihar","Bihar - Aurangabad"
"None of the Above","None of the Above",1374,"Bihar","Bihar - Aurangabad"
"HARI MANJHI","Bharatiya Janata Party",1392,"Bihar","Bihar - Gaya (SC)"
"RAMJI MANJHI","Rashtriya Janata Dal",1391,"Bihar","Bihar - Gaya (SC)"
"JITAN RAM MANJHI","Janata Dal  (United)",1387,"Bihar","Bihar - Gaya (SC)"
"ASHOK KUMAR","Jharkhand Mukti Morcha",1393,"Bihar","Bihar - Gaya (SC)"
"DR. DEV KUMAR CHOUDHARY","Independent",1390,"Bihar","Bihar - Gaya (SC)"
"SHIV KUMAR KANT","Bahujan Samaj Party",1388,"Bihar","Bihar - Gaya (SC)"
"KAPIL CHOUDHARY","All India Trinamool Congress",1399,"Bihar","Bihar - Gaya (SC)"
"NIRANJAN KUMAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",1398,"Bihar","Bihar - Gaya (SC)"
"BHUNESWAR DAS","Rashtriya Ahinsa Manch",1397,"Bihar","Bihar - Gaya (SC)"
"DHANANJAY KISHORE","Aam Aadmi Party",1396,"Bihar","Bihar - Gaya (SC)"
"MAMTA KUMARI","Samajwadi Party",636,"Bihar","Bihar - Gaya (SC)"
"SHIV SHANKAR KUMAR","Bharat Bhrashtachar Mitao Party",1395,"Bihar","Bihar - Gaya (SC)"
"INDRA DEO CHOUDHARY","Bahujan Mukti Party",1394,"Bihar","Bihar - Gaya (SC)"
"None of the Above","None of the Above",1389,"Bihar","Bihar - Gaya (SC)"
"GIRIRAJ SINGH","Bharatiya Janata Party",1411,"Bihar","Bihar - Nawada"
"RAJ BALLABH PRASAD","Rashtriya Janata Dal",1404,"Bihar","Bihar - Nawada"
"KAUSHAL YADAV","Janata Dal  (United)",1402,"Bihar","Bihar - Nawada"
"SAFDAR ISMAIL","Independent",1400,"Bihar","Bihar - Nawada"
"SOHAIL ANWER","Bahujan Samaj Party",1417,"Bihar","Bihar - Nawada"
"SHULOCHANA DEVI","Independent",1415,"Bihar","Bihar - Nawada"
"SATISH KUMAR","Independent",1414,"Bihar","Bihar - Nawada"
"MANISH KUMAR","Independent",1413,"Bihar","Bihar - Nawada"
"RAJENDRA SINGH","Aam Aadmi Party",1412,"Bihar","Bihar - Nawada"
"ADITYA NARAYAN","Independent",1410,"Bihar","Bihar - Nawada"
"SURENDRA RAJBANSHI","Samajwadi Party",1409,"Bihar","Bihar - Nawada"
"AZAD GEETA PRASAD SHARMA","Independent",1408,"Bihar","Bihar - Nawada"
"VIJAY RAM","Moolniwasi Samaj Party",1407,"Bihar","Bihar - Nawada"
"MOHAMMAD JAHID HUSAIN","All India Trinamool Congress",1406,"Bihar","Bihar - Nawada"
"ASHOK KUMAR","Rajnaitik Vikalp Party",1405,"Bihar","Bihar - Nawada"
"UMAKANT RAHI","Shoshit Samaj Dal",1403,"Bihar","Bihar - Nawada"
"PRAMENDRA KUMAR YADAV","Bharatiya Ekta Dal",1401,"Bihar","Bihar - Nawada"
"None of the Above","None of the Above",1416,"Bihar","Bihar - Nawada"
"CHIRAG KUMAR PASWAN","Lok Jan Shakti Party",1424,"Bihar","Bihar - Jamui (SC)"
"SUDHANSU SHEKHAR BHASKAR","Rashtriya Janata Dal",1423,"Bihar","Bihar - Jamui (SC)"
"UDAY NARAIN CHOUDHARY","Janata Dal  (United)",1422,"Bihar","Bihar - Jamui (SC)"
"BRAHMDEV ANAND PASWAN","Bahujan Samaj Party",1420,"Bihar","Bihar - Jamui (SC)"
"UPENDRA RAVIDAS","Jharkhand Mukti Morcha",1419,"Bihar","Bihar - Jamui (SC)"
"SUBHASH PASWAN","Independent",1418,"Bihar","Bihar - Jamui (SC)"
"MANOJ KUMAR MANJHI","Independent",1428,"Bihar","Bihar - Jamui (SC)"
"DILIP KUMAR","Independent",1427,"Bihar","Bihar - Jamui (SC)"
"VINOD KUMAR DAS","Aam Aadmi Party",1426,"Bihar","Bihar - Jamui (SC)"
"VISHUN CHOUDHARY","Shivsena",1087,"Bihar","Bihar - Jamui (SC)"
"JAY PRAKASH DAS","Communist Party of India  (Marxist-Leninist)  (Liberation)",1425,"Bihar","Bihar - Jamui (SC)"
"None of the Above","None of the Above",1421,"Bihar","Bihar - Jamui (SC)"
"SHRIPAD YESSO NAIK","Bharatiya Janata Party",1431,"Goa","Goa - North Goa"
"RAVI NAIK","Indian National Congress",1429,"Goa","Goa - North Goa"
"DR.DATTARAM DESAI","Aam Aadmi Party",1430,"Goa","Goa - North Goa"
"ADV. SUHAS NAIK","Communist Party of India",1433,"Goa","Goa - North Goa"
"DAYANAND G. NARVEKAR","Independent",1432,"Goa","Goa - North Goa"
"RAJU DSOUZA","Samajwadi Janata Party (Rashtriya)",1131,"Goa","Goa - North Goa"
"MITTU MUJAVAR","Independent",126,"Goa","Goa - North Goa"
"None of the Above","None of the Above",1434,"Goa","Goa - North Goa"
"ADV. NARENDRA KESHAV SAWAIKAR","Bharatiya Janata Party",1438,"Goa","Goa - South Goa"
"ALEIXO REGINALDO LOURENCO","Indian National Congress",1437,"Goa","Goa - South Goa"
"CHURCHILL ALEMAO","All India Trinamool Congress",1436,"Goa","Goa - South Goa"
"SWATI S. KERKAR","Aam Aadmi Party",1435,"Goa","Goa - South Goa"
"GOVIND SHEPU GAUDE","Independent",1445,"Goa","Goa - South Goa"
"ADV. RAJU MANGESHKAR","Communist Party of India",1441,"Goa","Goa - South Goa"
"SHALOM MATHEW FRANCISCO SARDINHA","Independent",1439,"Goa","Goa - South Goa"
"VENUS HABIB","Independent",1447,"Goa","Goa - South Goa"
"SAVIO OLIVER RODRIGUES","Goa Su-Raj Party",1446,"Goa","Goa - South Goa"
"BALKRISHNA SALGAONKAR","Independent",1444,"Goa","Goa - South Goa"
"CLIFFTON DE SOUZA","Bahujan Mukti Party",1443,"Goa","Goa - South Goa"
"ADV.JAWAHAR LEONARDO DIAS","Goemcarancho Otrec Astro",1442,"Goa","Goa - South Goa"
"None of the Above","None of the Above",1440,"Goa","Goa - South Goa"
"CHAVDA VINOD LAKHAMASHI","Bharatiya Janata Party",1453,"Gujarat","Gujarat - Kachchh"
"DR.DINESH PARMAR","Indian National Congress",1452,"Gujarat","Gujarat - Kachchh"
"KAMALBHAI MATANG","Bahujan Samaj Party",1451,"Gujarat","Gujarat - Kachchh"
"HIRJI PUNJABHAI SIJU","Bahujan Mukti Party",1450,"Gujarat","Gujarat - Kachchh"
"DANICHA GOVINDBHAI PUNAMCHAND","Aam Aadmi Party",1448,"Gujarat","Gujarat - Kachchh"
"None of the Above","None of the Above",1449,"Gujarat","Gujarat - Kachchh"
"CHAUDHARY HARIBHAI PARTHIBHAI","Bharatiya Janata Party",1463,"Gujarat","Gujarat - Banaskantha"
"PATEL JOITABHAI KASNABHAI","Indian National Congress",1461,"Gujarat","Gujarat - Banaskantha"
"MAHANT PARSOTAMGIRI TURANTGIRI","Bahujan Samaj Party",1455,"Gujarat","Gujarat - Banaskantha"
"BABAJI THAKOR","Independent",1454,"Gujarat","Gujarat - Banaskantha"
"SOLANKI SAYBABHAI NANABHAI","Independent",1466,"Gujarat","Gujarat - Banaskantha"
"SANJAYKUMAR SOMNATHBHAI RAVAL","Aam Aadmi Party",1465,"Gujarat","Gujarat - Banaskantha"
"SOLANKI DINESHKUMAR ALJIBHAI","Independent",1464,"Gujarat","Gujarat - Banaskantha"
"MAHENDRABHAI KESARABHAI BUMBADIA","Independent",1462,"Gujarat","Gujarat - Banaskantha"
"SHRIMALI ASHOKBHAI BALCHNDBHAI","Independent",1460,"Gujarat","Gujarat - Banaskantha"
"DABHI NAVAJIBHAI MADHABHAI","Independent",1459,"Gujarat","Gujarat - Banaskantha"
"MADHU NIRUPABEN NATVARLAL","Independent",1458,"Gujarat","Gujarat - Banaskantha"
"CHOUDHARY ADAMBHAI NASIRBHAI","Samajwadi Party",1457,"Gujarat","Gujarat - Banaskantha"
"THAKOR BHUPATAJI RAVAJI","Independent",432,"Gujarat","Gujarat - Banaskantha"
"GAMAR VADHABHAI RADHABHAI","Independent",1467,"Gujarat","Gujarat - Banaskantha"
"None of the Above","None of the Above",1456,"Gujarat","Gujarat - Banaskantha"
"LILADHARBHAI KHODAJI VAGHELA","Bharatiya Janata Party",1474,"Gujarat","Gujarat - Patan"
"RATHOD BHAVSINHBHAI DAHYABHAI","Indian National Congress",1473,"Gujarat","Gujarat - Patan"
"PARMAR MAGANBHAI AMARABHAI","Bahujan Samaj Party",1478,"Gujarat","Gujarat - Patan"
"VAGHDA JIVABHAI DEVABHAI","Independent",1477,"Gujarat","Gujarat - Patan"
"GOVINDJI OKHAJI THAKOR","Janata Dal  (United)",1476,"Gujarat","Gujarat - Patan"
"MOLAPIYA ABDULKUDUS ABDULMAJID","Independent",1475,"Gujarat","Gujarat - Patan"
"JAKASIJI JOGAJI THAKOR","Bahujan Mukti Party",35,"Gujarat","Gujarat - Patan"
"BHORANIYA SOYABBHAI HASAMBHAI","Independent",964,"Gujarat","Gujarat - Patan"
"CHHAGANBHAI NARANBHAI PRAJAPATI","Independent",1472,"Gujarat","Gujarat - Patan"
"JAGRALA  IMRAN MAHEMUD","Independent",49,"Gujarat","Gujarat - Patan"
"BABUBHAI KARSHANBHAI RABARI","Samajwadi Party",1471,"Gujarat","Gujarat - Patan"
"IMRANKHAN MAHMADKHAN NAGORI","Independent",1470,"Gujarat","Gujarat - Patan"
"DESAI ISHWARBHAI MAHADEVBHAI","Independent",1469,"Gujarat","Gujarat - Patan"
"PARMAR BHAICHANDBHAI SOMABHAI","Republican Party of India Ektavadi",368,"Gujarat","Gujarat - Patan"
"None of the Above","None of the Above",1468,"Gujarat","Gujarat - Patan"
"PATEL JAYSHREEBEN KANUBHAI","Bharatiya Janata Party",1488,"Gujarat","Gujarat - Mahesana"
"PATEL JIVABHAI AMBALAL","Indian National Congress",1486,"Gujarat","Gujarat - Mahesana"
"THAKOR KEVALJI NATHAJI","Bahujan Samaj Party",1491,"Gujarat","Gujarat - Mahesana"
"MAHMAD AZAM HAIDERKHAN PATHAN","Independent",1490,"Gujarat","Gujarat - Mahesana"
"PRAJAPATI VITTHALBHAI VIRDAS","Independent",1489,"Gujarat","Gujarat - Mahesana"
"GIRISHJI JENAJI DABHI","Bharatiya National Janta Dal",926,"Gujarat","Gujarat - Mahesana"
"SMT VANDANABEN DINESHKUMAR PATEL","Aam Aadmi Party",1487,"Gujarat","Gujarat - Mahesana"
"THAKOR SAMARATJI BALVANTSINH","Independent",1485,"Gujarat","Gujarat - Mahesana"
"THAKOR BABUJI DHANAJI","Independent",1484,"Gujarat","Gujarat - Mahesana"
"THAKOR BALDEVJI MAGANJI","Independent",1483,"Gujarat","Gujarat - Mahesana"
"ZALA INDRAJITSINH MAHENDRASINH","Samajwadi Party",1482,"Gujarat","Gujarat - Mahesana"
"THAKOR MANSANGJI PUNJAJI","Bahujan Mukti Party",1481,"Gujarat","Gujarat - Mahesana"
"CHAUDHARY DINESHBHAI SALUBHAI","Vishva Hindustani Sangathan",1479,"Gujarat","Gujarat - Mahesana"
"PATEL DILIPBHAI SOMABHAI","Hindustan Janta Party",91,"Gujarat","Gujarat - Mahesana"
"None of the Above","None of the Above",1480,"Gujarat","Gujarat - Mahesana"
"RATHOD DIPSINH SHANKARSINH","Bharatiya Janata Party",1499,"Gujarat","Gujarat - Sabarkantha"
"SHANKERSINH VAGHELA BAPU","Indian National Congress",1498,"Gujarat","Gujarat - Sabarkantha"
"BHAMBHI CHANDUBHAI MULCHANDBHAI","Bahujan Samaj Party",1492,"Gujarat","Gujarat - Sabarkantha"
"SOLANKI CHHAGANBHAI KEVALABHAI","Independent",1502,"Gujarat","Gujarat - Sabarkantha"
"PATEL BHOGILAL HARIBHAI","Bharatiya National Janta Dal",1501,"Gujarat","Gujarat - Sabarkantha"
"VELANI SHANTILAL KARAMSHI","Independent",1500,"Gujarat","Gujarat - Sabarkantha"
"BALUSINGH SOMANSINGH NARVE","Independent",1497,"Gujarat","Gujarat - Sabarkantha"
"SHEKH ARIF KHAN","Samajwadi Party",1496,"Gujarat","Gujarat - Sabarkantha"
"PATEL PURUSOTTAMBHAI AMBALAL","Independent",1494,"Gujarat","Gujarat - Sabarkantha"
"PATEL ISHWARBHAI SAKRAJI","Independent",1493,"Gujarat","Gujarat - Sabarkantha"
"None of the Above","None of the Above",1495,"Gujarat","Gujarat - Sabarkantha"
"L.K.ADVANI","Bharatiya Janata Party",1513,"Gujarat","Gujarat - Gandhinagar"
"KIRITBHAI ISHVARBHAI PATEL","Indian National Congress",1507,"Gujarat","Gujarat - Gandhinagar"
"RITURAJ MEHTA","Aam Aadmi Party",1506,"Gujarat","Gujarat - Gandhinagar"
"RAHUL CHIMANBHAI MEHTA","Independent",1516,"Gujarat","Gujarat - Gandhinagar"
"VAGHELA KISHORSINH MAHOBATSINH","Independent",253,"Gujarat","Gujarat - Gandhinagar"
"NIRANJAN GHOSH","Bahujan Samaj Party",1510,"Gujarat","Gujarat - Gandhinagar"
"M. K. SHAH","Independent",1509,"Gujarat","Gujarat - Gandhinagar"
"RAJ PRAJAPATI","Independent",1508,"Gujarat","Gujarat - Gandhinagar"
"AJMALBHAI RAMABHAI VANIYA","Bahujan Mukti Party",1505,"Gujarat","Gujarat - Gandhinagar"
"BRAHMBHATT SANJAYBHAI AMARKUMAR","Independent",1504,"Gujarat","Gujarat - Gandhinagar"
"BIRJUSINH MOTISINH KSHATRIYA","Independent",1517,"Gujarat","Gujarat - Gandhinagar"
"PAGI GANPATBHAI MAVJIBHAI","Independent",1515,"Gujarat","Gujarat - Gandhinagar"
"THAKOR RAVAJI JUHAJI","Vishva Hindustani Sangathan",147,"Gujarat","Gujarat - Gandhinagar"
"DESAI KHODABHAI LALJIBHAI","Independent",1514,"Gujarat","Gujarat - Gandhinagar"
"DIPIKABEN SUTARIYA","Independent",1512,"Gujarat","Gujarat - Gandhinagar"
"MANOJ J. NAYAK","Loktantrik Rashrtavadi Party",1444,"Gujarat","Gujarat - Gandhinagar"
"THAKOR CHANDRASINH JAVANSINH","Independent",496,"Gujarat","Gujarat - Gandhinagar"
"PATEL PIYUSHKUMAR DASHRATHLAL","National Youth Party",1511,"Gujarat","Gujarat - Gandhinagar"
"None of the Above","None of the Above",1503,"Gujarat","Gujarat - Gandhinagar"
"PARESH RAWAL","Bharatiya Janata Party",1526,"Gujarat","Gujarat - Ahmedabad East"
"PATEL HIMMATSINGH PRAHLADSINGH","Indian National Congress",1522,"Gujarat","Gujarat - Ahmedabad East"
"DINESH VAGHELA","Aam Aadmi Party",1519,"Gujarat","Gujarat - Ahmedabad East"
"ROHIT RAJUBHAI VIRJIBHAI ALIAS MANOJBHAI SONTARIYA","Bahujan Samaj Party",1525,"Gujarat","Gujarat - Ahmedabad East"
"ROSHAN PRIYAVADAN SHAH","Independent",1523,"Gujarat","Gujarat - Ahmedabad East"
"DASHRATHBHAI M. DEVDA","Independent",1030,"Gujarat","Gujarat - Ahmedabad East"
"ANILKUMAR SHARMA","Independent",1520,"Gujarat","Gujarat - Ahmedabad East"
"ATIKBHAI MEV","Independent",1518,"Gujarat","Gujarat - Ahmedabad East"
"ADITYA RAVAL","Vishva Hindustani Sangathan",1531,"Gujarat","Gujarat - Ahmedabad East"
"KHALIFA SAMSUDDIN NASIRUDDIN (JUGNU)","Akhil Bharatiya Congress Dal (Ambedkar)",1530,"Gujarat","Gujarat - Ahmedabad East"
"NARANBHAI T. SENGAL (DR.N.T.SENGAL)","Bahujan Suraksha Dal",1529,"Gujarat","Gujarat - Ahmedabad East"
"VIJAYKUMAR M. VADHEL","Hindusthan Nirman Dal",1528,"Gujarat","Gujarat - Ahmedabad East"
"BUDDHPRIYA JASVANT SOMABHAI","Prajatantra Aadhar Party",1527,"Gujarat","Gujarat - Ahmedabad East"
"DUTT AAKASH - ADVOCATE","Janata Dal  (United)",1524,"Gujarat","Gujarat - Ahmedabad East"
"None of the Above","None of the Above",1521,"Gujarat","Gujarat - Ahmedabad East"
"DR. KIRIT P SOLANKI","Bharatiya Janata Party",1539,"Gujarat","Gujarat - Ahmedabad West"
"ISHWARBAHI DHANABHAI MAKWANA","Indian National Congress",1538,"Gujarat","Gujarat - Ahmedabad West"
"J J MEVADA","Aam Aadmi Party",1535,"Gujarat","Gujarat - Ahmedabad West"
"CHAVDA MANSUKHBHAI NAGARBHAI","Bahujan Samaj Party",1540,"Gujarat","Gujarat - Ahmedabad West"
"SOLANKI VITTHALBHAI MAGANBHAI","Independent",1537,"Gujarat","Gujarat - Ahmedabad West"
"DR J G PARMAR","Bahujan Mukti Party",1536,"Gujarat","Gujarat - Ahmedabad West"
"NARENDRA SANKHALIYA","Loktantrik Samajwadi Party",1533,"Gujarat","Gujarat - Ahmedabad West"
"SOLANKI RAMESHBHAI DANABHAI","Independent",1532,"Gujarat","Gujarat - Ahmedabad West"
"AMRUT SONARA","Bahujan Suraksha Dal",1543,"Gujarat","Gujarat - Ahmedabad West"
"AAYAR MULJIBHAI KHANABHAI","Independent",1542,"Gujarat","Gujarat - Ahmedabad West"
"PARMAR HARJIVANBHAI KALABHAI","Independent",1541,"Gujarat","Gujarat - Ahmedabad West"
"None of the Above","None of the Above",1534,"Gujarat","Gujarat - Ahmedabad West"
"FATEPARA DEVAJIBHAI GOVINDBHAI","Bharatiya Janata Party",1559,"Gujarat","Gujarat - Surendranagar"
"KOLI PATEL SOMABHAI GANDALAL","Indian National Congress",1557,"Gujarat","Gujarat - Surendranagar"
"SAPARA VIPULBHAI RAMESHBHAI","Independent",1552,"Gujarat","Gujarat - Surendranagar"
"JETHABHAI MANJIBHAI PATEL","Aam Aadmi Party",1549,"Gujarat","Gujarat - Surendranagar"
"SANKALIYA GANGARAMBHAI TAPUBHAI","Independent",1546,"Gujarat","Gujarat - Surendranagar"
"PARMAR MINAXIBEN VIJAYBHAI","Bahujan Samaj Party",1544,"Gujarat","Gujarat - Surendranagar"
"VAGHELA PRAKASHBHAI BACHUBHAI","Independent",1560,"Gujarat","Gujarat - Surendranagar"
"VORA BHAVANBHAI DEVAJIBHAI","Independent",1558,"Gujarat","Gujarat - Surendranagar"
"VADALIYA KALUBHAI MALUBHAI","Independent",1556,"Gujarat","Gujarat - Surendranagar"
"PARMAR PRABHUBHAI GOKALBHAI","Independent",1555,"Gujarat","Gujarat - Surendranagar"
"BAR AJAMALBHAI KARMANBHAI","Bahujan Mukti Party",1554,"Gujarat","Gujarat - Surendranagar"
"MANSINH SHIVUBHA ZALA","Independent",1553,"Gujarat","Gujarat - Surendranagar"
"PARMAR VASHARAMBHAI BAVALBHAI","Independent",321,"Gujarat","Gujarat - Surendranagar"
"MAKWANA VASHARAMBHAI KARSHANBHAI","Independent",1551,"Gujarat","Gujarat - Surendranagar"
"MAJETHIYA SAMARATBHAI JERAMBHAI","Hindustan Janta Party",1550,"Gujarat","Gujarat - Surendranagar"
"CHAVDA PALABHAI NANJIBHAI","Independent",1548,"Gujarat","Gujarat - Surendranagar"
"MAKWANA UKABHAI AMRABHAI","Independent",1547,"Gujarat","Gujarat - Surendranagar"
"None of the Above","None of the Above",1545,"Gujarat","Gujarat - Surendranagar"
"KUNDARIYA MOHANBHAI KALYANJIBHAI","Bharatiya Janata Party",1570,"Gujarat","Gujarat - Rajkot"
"KUNVARJIBHAI MOHANBHAI BAVALIYA","Indian National Congress",1568,"Gujarat","Gujarat - Rajkot"
"JIVANBHAI DEVAJIBHAI PARMAR","Bahujan Samaj Party",1563,"Gujarat","Gujarat - Rajkot"
"ANKUR AMRUTKUMAR DHAMELIYA(PATEL)","Aam Aadmi Party",1561,"Gujarat","Gujarat - Rajkot"
"VINODBHAI PRAGJIBHAI NAGANI","Independent",1569,"Gujarat","Gujarat - Rajkot"
"BASIRBHAI SULEMANBHAI SAMA","Independent",1567,"Gujarat","Gujarat - Rajkot"
"ANIRUDDHSINH JUVANSINH ZALA","Independent",465,"Gujarat","Gujarat - Rajkot"
"PRAVINCHANDRA CHUNILAL PAREKH","Independent",1565,"Gujarat","Gujarat - Rajkot"
"POPATBHAI DEVAJIBHAI CHAVDA (BHUVA)","Independent",1564,"Gujarat","Gujarat - Rajkot"
"ROHITBHAI MOHANBHAI SAGATHIYA","Bahujan Mukti Party",401,"Gujarat","Gujarat - Rajkot"
"NARENDRABHAI MAHAJAN","Independent",348,"Gujarat","Gujarat - Rajkot"
"PATHAN BISMILLAKHAN ABDULKHAN (BABAKHAN PATHAN)","Independent",1562,"Gujarat","Gujarat - Rajkot"
"JITENDRA BHURABHAI CHAUHAN","Republican Party of India (Khobragade)",1572,"Gujarat","Gujarat - Rajkot"
"DENGADA PRAVINBHAI MEGHAJIBHAI","Republican Party of India (A)",1571,"Gujarat","Gujarat - Rajkot"
"RAJESHBHAI LAVJIBHAI PIPALVA","Loktantrik Rashrtavadi Party",1542,"Gujarat","Gujarat - Rajkot"
"None of the Above","None of the Above",1566,"Gujarat","Gujarat - Rajkot"
"RADADIYA VITHALBHAI  HANSRAJBHAI","Bharatiya Janata Party",1586,"Gujarat","Gujarat - Porbandar"
"JADEJA KANDHALBHAI SARMANBHAI","Nationalist Congress Party",1581,"Gujarat","Gujarat - Porbandar"
"SADIYA VRAJALAL PABABHAI","Bahujan Samaj Party",1574,"Gujarat","Gujarat - Porbandar"
"MANSUKH SUNDARAJI DHOKAI","Aam Aadmi Party",1587,"Gujarat","Gujarat - Porbandar"
"VAKIL VINZUDA RANJITBHAI NARANBHAI","Independent",1585,"Gujarat","Gujarat - Porbandar"
"IRFANSHAH HABIBSHAH SUHARAVARDI","Samajwadi Party",1584,"Gujarat","Gujarat - Porbandar"
"RATHOD CHANDULAL MOHANLAL","Independent",1583,"Gujarat","Gujarat - Porbandar"
"PATEL BUTANI RAJESHBHAI MAGANBHAI","Independent",1582,"Gujarat","Gujarat - Porbandar"
"KHUNTI BHARATBHAI MALDEBHAI","Independent",1580,"Gujarat","Gujarat - Porbandar"
"TUKADIA G.R.","Independent",1579,"Gujarat","Gujarat - Porbandar"
"AGHERA DHIRAJLAL BHURABHAI","Independent",1578,"Gujarat","Gujarat - Porbandar"
"UNADAKAT PRAKASH VALLABHADAS","Independent",1576,"Gujarat","Gujarat - Porbandar"
"KHOKHANI LALITABEN MANSUKHBHAI","Independent",1575,"Gujarat","Gujarat - Porbandar"
"JOSHI HARISH LILADHAR","Independent",1573,"Gujarat","Gujarat - Porbandar"
"None of the Above","None of the Above",1577,"Gujarat","Gujarat - Porbandar"
"POONAMBEN HEMATBHAI MAADAM","Bharatiya Janata Party",1597,"Gujarat","Gujarat - Jamnagar"
"AHIR VIKRAMBHAI ARJANBHAI MADAM","Indian National Congress",1594,"Gujarat","Gujarat - Jamnagar"
"MAMAD HAJI BOLIM","Independent",1606,"Gujarat","Gujarat - Jamnagar"
"SAMA YUSUF","Bahujan Samaj Party",1605,"Gujarat","Gujarat - Jamnagar"
"MEMAN RAFIK ABUBAKAR POPATPUTRA","Independent",690,"Gujarat","Gujarat - Jamnagar"
"JHALA RAJENDRASINH","Aam Aadmi Party",480,"Gujarat","Gujarat - Jamnagar"
"VAGHER ALI ISHAK PALANI","Independent",1596,"Gujarat","Gujarat - Jamnagar"
"BATHWAR NANJIBHAI","Independent",1595,"Gujarat","Gujarat - Jamnagar"
"NARIYA PRAVINBHAI VALLABHBHAI","Independent",1593,"Gujarat","Gujarat - Jamnagar"
"PANDYA CHIRAGBHAI HARIOMBHAI","Independent",226,"Gujarat","Gujarat - Jamnagar"
"SANDHI MAMADBHAI HAJIBHAI SAFIA","Independent",1592,"Gujarat","Gujarat - Jamnagar"
"KASAMBHAI","Rashtriya Komi Ekta Party",1591,"Gujarat","Gujarat - Jamnagar"
"VAGHER JAVIDBHAI OSMANBHAI NOLE","Independent",1590,"Gujarat","Gujarat - Jamnagar"
"PADHIYAR LALJIBHAI KARABHAI","Independent",1589,"Gujarat","Gujarat - Jamnagar"
"DHARAVIYA VALLABHBHAI","Independent",1588,"Gujarat","Gujarat - Jamnagar"
"SAIYAD ABUBAKAR IBRAHIM","Samajwadi Party",1609,"Gujarat","Gujarat - Jamnagar"
"SODHA SALIMBHAI NURMAMADBHAI","Independent",1608,"Gujarat","Gujarat - Jamnagar"
"CHANDRAVIJAYSINH TAKHUBHA RANA","Independent",1607,"Gujarat","Gujarat - Jamnagar"
"SACHADA HABIB ISHABHAI","Independent",1604,"Gujarat","Gujarat - Jamnagar"
"VANIYA GANGAJIBHAI","Independent",1603,"Gujarat","Gujarat - Jamnagar"
"DHANJIBHAI LALJIBHAI RANEVADIA","Independent",1602,"Gujarat","Gujarat - Jamnagar"
"SUMARA AMANDBHAI NOORMAMADBHAI SUMARA","Independent",596,"Gujarat","Gujarat - Jamnagar"
"DALIT ASHOK NATHABHAI CHAVDA","Independent",1601,"Gujarat","Gujarat - Jamnagar"
"DALIT JITESH BABUBHAI RATHORE","Independent",1600,"Gujarat","Gujarat - Jamnagar"
"SUTHAR HANSABEN HARSUKHBHAI GORECHA","Independent",1598,"Gujarat","Gujarat - Jamnagar"
"None of the Above","None of the Above",1599,"Gujarat","Gujarat - Jamnagar"
"CHUDASAMA RAJESHBHAI NARANBHAI","Bharatiya Janata Party",1615,"Gujarat","Gujarat - Junagadh"
"PUNJABHAI BHIMABHAI VANSH","Indian National Congress",1614,"Gujarat","Gujarat - Junagadh"
"ATUL GOVINDBHAI SHEKHADA","Aam Aadmi Party",1610,"Gujarat","Gujarat - Junagadh"
